query,rewritten
"how long should a post event massage last","What is the optimal duration (length, time) of a post-event massage therapy (treatment, session)?"
"what is fragging in cs","What is ""fragging"" (killing, slaying) in Counter-Strike (CS)?"
"What is the name of the teddy bear that Jingles chose from the toy store in Sydney?","What is the name of the teddy bear that Jingles selected (picked, chose) from the toy shop (store, boutique) in Sydney?"
"where do the definitions on google come from","What are the sources (origins) of Google's definitions (explanations, meanings)?"
"what does sarah name mean in the bible","What does the name Sarah mean (signify, represent) in the Bible (scripture, holy book)?"
"where did the star spangled banner song come from","What are the origins (sources, roots) of ""The Star-Spangled Banner"" national anthem (song, hymn)?"
"how to install rabbit guard fence","How do I install a rabbit-proof (wildlife-resistant, animal-deterring) fence guard (barrier, mesh) to protect my garden (yard, lawn)?"
"what are the balls in power lines for","What are the purpose (function, role) of the spheres (balls, orbs) on power lines (electric transmission lines, cables)?"
"where can blood in urinary tract come from","What are the possible sources (origins, causes) of blood in the urinary tract (urine, bladder, kidneys)?"
"what are the cells of the immune system","What are the components (elements, constituents) of the immune system, including types (kinds, varieties) of immune cells (lymphocytes, leukocytes)?"
"where did the movie 10000 bc take place","In what locations (settings, environments) was the film ""10,000 BC"" set (filmed, shot)?"
"what was the function of the leaning tower of pisa during the world war ii","What was the role (purpose, function) of the Leaning Tower of Pisa during World War II (Second World War)?"
"who plays jake in jake and the neverland pirates","Who portrays (plays, acts as) Jake in the TV show ""Jake and the Never Land Pirates""?"
"in which size group will conformity be highest","In what size group is conformity (compliance, uniformity) most likely to be highest (prevalent, widespread)?"
"What is the author working on as a winter project?","What is the writer (author, creator) currently working on as a winter (seasonal, cold-weather) project (venture, endeavor)?"
"explain why ribosomes are called protein factories","What are the reasons (explanations) why ribosomes are referred to as protein (amino acid) synthesizers (factories, manufacturers)?"
"Who is the face of the Estée Edit brand?","Who is the ambassador (representative, spokesperson) of the Estée Edit beauty (cosmetic) brand?"
"when did the european rabbit come to australia","When did the European rabbit (Old World rabbit, Oryctolagus cuniculus) first arrive (introduce, migrate) in Australia?"
"who is credited with compiling the great book of organum (magnus liber organi)","Who is credited with authoring the Magnus Liber Organi (Great Book of Organum), a medieval musical treatise?"
"What are some of the ways to improve your TikTok page and increase views and followers?","How can I enhance (optimize, boost) my TikTok profile (account, channel) and boost (increase, grow) my views and followers (audience, subscribers)?"
"Who was reported to have become more skeptical about the possibility of sealing a Brexit deal after meeting the prime minister at her Downing Street residence?","Who expressed increased skepticism (doubt, uncertainty) about reaching a Brexit agreement (deal, accord) after meeting the prime minister at her Downing Street residence (home, office)?"
"where is llanos located","In what region (area, location) is the Llanos (plains, grasslands) situated?"
"What are the two major developments and investments that JT plans for the next year?","What are the two key (major, significant) advancements (developments, initiatives) and investments that JT intends (plans, proposes) for the upcoming (next) year?"
"when did the us adopt the electoral college","When did the United States adopt the electoral college (voting system, presidential election process)?"
"what is dukan diet plan","What is the Dukan diet plan (weight loss program, nutrition scheme), and how does it work?"
"where does new england patriots play home games","What is the home stadium (arena, venue) of the New England Patriots football team?"
"where was the first aldi store in the us","What was the location (site, place) of the first ALDI store in the United States (US, America)?"
"when did the drinking age raise to 21","What is the history (timeline) of the legal drinking age (minimum age, age limit) being raised to 21 in the United States (US, America)?"
"cost of scaffolding per metre","What is the price (cost, expense) of scaffolding per meter (metre, linear meter)?"
"what was neil patrick harris a doctor in","In what TV show did Neil Patrick Harris play a doctor (physician, medical professional)?"
"when was the i love you virus created","When was the ""I Love You"" virus (malware, computer worm) first created (developed, launched)?"
"standard score definition","What is the definition of a standard score (z-score, norm-referenced score) in statistics?"
"what is weathering like","What is the process (mechanism, procedure) of weathering (erosion, degradation) like?"
"how many episodes in got season 7 in total","What is the total number of episodes in Game of Thrones (GOT) Season 7?"
"what causes water in lungs","What causes fluid (liquid, water) accumulation in the lungs (pulmonary edema, respiratory system)?"
"what does plaque psoriasis look like","What does plaque psoriasis typically appear as (characteristics, symptoms, manifestation)?"
"where does she's all that take place","Where does the movie ""She's All That"" take place (occur, happen)?"
"what two domains are closely related","What two domains are closely related (associated, interconnected) to each other?"
"Who took over Bill O'Reilly's time slot on Fox News after his departure?","Who replaced Bill O'Reilly in his former time slot (program schedule) on Fox News following his exit (departure, resignation)?"
"cost of home dialysis machine","What is the expense (cost, price) of a home hemodialysis (dialysis, kidney dialysis) apparatus (machine, equipment)?"
"what is asparagus salsify","What is the difference between asparagus and salsify (oyster plant, vegetable oyster)?"
"What is the purpose of Couponrobin.com according to the context?","What is the objective (goal, intention) of Couponrobin.com according to its context (setting, circumstances)?"
"who played cipher in fast and furious 8","Who played the role of Cipher (villain, antagonist) in The Fate of the Furious (Fast and Furious 8, F&F8)?"
"what does funga alafia mean","What does ""Funga Alafia"" mean (signify, represent) in Yoruba culture (tradition, heritage)?"
"examples of complex carbs food","What are some examples of complex carbohydrates (polysaccharides) in food (diet, nutrition), such as whole grains (cereals), fruits (produce), and vegetables (greens)?"
"learning theory definition","What is the definition of learning theory (educational philosophy, instructional model)?"
"who makes up the general assembly of the un","Who comprises (constitutes, forms) the United Nations General Assembly membership?"
"why do people light candles when someone dies","What is the significance (importance, meaning) of lighting candles when someone passes away (dies, deceases)?"
"how many carbs should you eat if you are trying to lose weight","What is the optimal daily carbohydrate (carb, sugar) intake for weight loss (slimming, fat reduction) when trying to shed pounds?"
"who plays in big 10 basketball championship game","Who participates (competes, plays) in the Big Ten basketball tournament (championship game, conference championship)?"
"how long after flu can you start exercising","How long after recovering from influenza (the flu) can you safely resume exercise (physical activity, workout)?"
"what is the amusement park in national lampoon's vacation","What is the name of the theme park (amusement park, recreational resort) featured in the movie National Lampoon's Vacation?"
"average temp majorca september","What is the typical (average, normal) temperature in Majorca (Mallorca) during September?"
"what group does orangutan belong","To which taxonomic group (category, classification) does the orangutan belong (fit, classify)?"
"who wins in sa re ga ma pa 2017","Who was the winner (champion, victor) of Sa Re Ga Ma Pa in 2017?"
"what is resorption syndrome in cats","What is feline (cat) resorptive (osteolytic, dental) lesion syndrome?"
"how many episodes does itsuka tenma no kuro usagi have","How many episodes are there in the anime series ""Itsuka Tenma no Kuro Usagi""?"
"where did marlin and dory go to find nemo","What route (path, journey) did Marlin and Dory take to locate (find, discover) Nemo?"
"who owns the lord of the rings movies","Who owns the rights (copyright, ownership) to the Lord of the Rings film (movie, cinematic) franchise?"
"what is pesach","What is the meaning (significance, importance) of Passover (Pesach, Pesah)?"
"how much do doctors earn during residency","What is the average salary (income, compensation) of doctors (physicians, medical residents) during their residency (training, internship) period?"
"What is the name of the specialty drink created by Joe's Crab Shack and Blue Chair Bay Rum?","What is the name of the signature cocktail (specialty drink, mixed drink) created by Joe's Crab Shack and Blue Chair Bay Rum (spirits, liquor)?"
"what is the meaning of coexist bumper sticker","What is the significance (meaning, importance) of ""coexist"" bumper stickers (decals, magnets) promoting religious tolerance (acceptance, harmony)?"
"What is the average life expectancy of a refrigerator?","What is the typical lifespan (duration, longevity) of a refrigerator (fridge, appliance)?"
"What is the estimated temperature and time of burial for the upper structural levels of the cover rocks of the Nanga Parbat Haramosh Massif?","What is the predicted thermal maturity (temperature) and duration of deposition (burial time) of the upper stratigraphic units (structural levels) of the cover rocks in the Nanga Parbat Haramosh Massif?"
"cooking time in convection for whole chicken","What is the recommended cooking time for a whole chicken in a convection oven (conveyor belt oven, circulating air oven)?"
"do cristina and burke get back together after the wedding","Do Cristina Yang and Preston Burke reunite (get back together, rekindle their romance) after the wedding ceremony (nuptials, marriage)?"
"Who is the author of the commentary on Exodus 31?","Who is the writer (author, creator) of the biblical commentary on Exodus chapter 31?"
"who appoints the chief minister of a state","Who appoints the chief minister (head of government, premier) of a state (province, region)?"
"What types of teams are available at City Beach Volleyball?","What kinds of volleyball teams (squads, leagues) are offered (available, provided) at City Beach Volleyball?"
"chegg customer support number","What is the Chegg customer service (support, help) phone number (contact, hotline)?"
"horsetails are members of what category of land plants","What category of land plants do horsetails belong to (classify as, fall under)?"
"what is korfball","What is korfball (a sport, game) and its rules (regulations, guidelines)?"
"fda definition of medical device","What is the FDA's definition of a medical device (equipment, instrument, apparatus)?"
"average wattage of fridge freezer","What is the typical (average, standard) power consumption (wattage, energy usage) of a refrigerator (fridge) and freezer (icebox) combination?"
"what is the difference between viral and bacterial conjunctivitis","What is the distinction (difference, contrast) between viral and bacterial conjunctivitis (pink eye, infectious eye inflammation)?"
"why does fluid overload cause hyponatremia","What are the reasons (causes, explanations) why fluid overload leads to hyponatremia (low sodium levels, electrolyte imbalance)?"
"where is the largest buddha statue in the world located","What is the location (site, position) of the world's largest Buddha statue?"
"how long does it take to walk the coast to coast","What is the estimated time (duration) required to walk the Coast to Coast trail (path, route) from start to finish?"
"where does the last name bingham originate from","What is the origin (source, ancestry) of the surname Bingham?"
"how did english political traditions affect government in plymouth","How did English political heritage (customs, legacies) influence governance (administration, rule) in Plymouth Colony (settlement, community)?"
"who chooses the electors in the electoral college","Who selects (chooses, appoints) the electors in the electoral college system?"
"what kind of nest do canaries like","What type of nest (habitat, enclosure) do canaries prefer (like, enjoy)?"
"john saxon net worth is","What is the net worth (wealth, assets) of John Saxon?"
"a major goal of the cultural revolution in china during the 1960s was to","What was a primary objective (main aim, key target) of the Cultural Revolution in China during the 1960s?"
"the purpose of christian aid","What is the mission (goal, objective) of Christian Aid (charity, organization)?"
"at what temp. and how long to slow cook baby back ribs","What temperature and cooking time are recommended for slow-cooking baby back ribs to achieve tender results?"
"difference between bid and offer in stock market","What is the distinction (difference, contrast) between the bid (asking) price and offer (asking) price in the stock market (equities, securities)?"
"is six flags and great america the same thing","Are Six Flags and Great America the same (identical, equivalent) amusement park (theme park, carnival) chain?"
"the actor who played miles on golden girls","Who played the role (part, character) of Miles (Miles Webber) on the TV show (series, sitcom) Golden Girls?"
"which treaty is used to govern trademark","What international agreement (treaty, convention) is used to regulate (govern, oversee) trademark (brand, intellectual property) law?"
"which type of cytoskeletal protein is also involved in muscle contractions","What type of cytoskeletal protein (microtubules, filaments) is also involved in muscle contractions (tension, relaxation)?"
"where does the term government cheese come from","What is the origin (source, roots) of the phrase ""government cheese""?"
"diseases caused by protozoans which are not transmitted by insects","What illnesses (diseases, disorders) are caused by protozoa (single-celled organisms) that are not vector-borne (transmitted) by insects (arthropods)?"
"when did the cleveland browns come back to the nfl","When did the Cleveland Browns rejoin (return, come back) the National Football League (NFL)?"
"viruses transmitted by blood","How are viruses (infections, pathogens) transmitted through blood (bloodstream, transfusions)?"
"how many atoms of chlorine (cl) are in the carbon tetrachloride molecule (ccl4)","What is the number of chlorine (Cl) atoms in a carbon tetrachloride (CCL4) molecule?"
"who is speaking in the book of deuteronomy","Who is the primary speaker (narrator, voice) in the biblical book of Deuteronomy?"
"cost for ring and pinion install","What is the estimated cost (price, expense) of installing a ring and pinion (gearset, differential) in a vehicle?"
"What are the two areas of expertise in real estate according to the context?","What are the two main fields (specializations, disciplines) of expertise in real estate (property, housing) according to the context?"
"where did the iroquois live in new york","What were the traditional territories (homelands, settlements) of the Iroquois tribe in New York State (NY)?"
"average salary for a radiation oncologist","What is the typical (average, median) annual compensation (salary, income) for a radiation oncologist (cancer treatment specialist)?"
"Who are the current members of the band Terraform?","What are the current lineup (members, roster) of the band Terraform?"
"when did the movie war games come out","When was the film ""WarGames"" (action movie, thriller) released?"
"when was the ebola outbreak in sierra leone","When did the Ebola (hemorrhagic fever) epidemic (outbreak, crisis) occur in Sierra Leone?"
"how long does a stomach ulcer take to heal","What is the average recovery time (healing period, duration of treatment) for a stomach ulcer (peptic ulcer, gastric ulcer)?"
"what's the average nba field goal percentage","What is the average NBA field goal shooting percentage (accuracy, success rate)?"
"what is hoosiers","What are the Hoosiers (inhabitants, residents) of Indiana (Indianans)?"
"What is the main function of Praziquantel Injection as indicated on the label?","What is the primary purpose (main function, indication) of Praziquantel Injection as stated on the product label (packaging, instructions)?"
"what form of energy does a battery produce","What type of energy (power, force) does a battery generate (produce, supply)?"
"What is the purpose of the Office of the Director of Equity and Inclusion in the Department of Political Science at the University of Chicago?","What is the role (function, mission) of the Office of the Director of Equity and Inclusion in the Department of Political Science at the University of Chicago?"
"what college newspaper refers to itself as the oldest college newspaper in michigan","Which Michigan college newspaper claims to be the oldest (most veteran, longest-established) college publication in the state?"
"where will the next world's fair be held","Where will the next international exposition (world's fair, expo) be hosted (held, located)?"
"What is one use of calcium metal in steel making?","What is a key application (utilization, function) of calcium metal in steel production (manufacturing, fabrication)?"
"what should you look for in a amino acids supplement to build muscle","What should you look for in an amino acid (protein building block) supplement to promote muscle growth (development, hypertrophy) and strength (power, endurance)?"
"What steps should be followed to uninstall the Mobicip Safe Browser app on Android?","How do I completely remove (uninstall, delete) the Mobicip Safe Browser application (app) from my Android device?"
"Why did Elon Musk sever his ties with Mark Zuckerberg's political startup Fwd.us?","What motivated Elon Musk to cut ties with Mark Zuckerberg's political organization Fwd.us (advocacy group, lobbying initiative)?"
"what was the importance of thomas newcomen's steam engine","What was the significance (importance, relevance) of Thomas Newcomen's steam engine (invention, innovation) in history?"
"what type of poem is love among the ruins","What type of poem is ""Love Among the Ruins"" (sonnet, elegy, lyrical poem) by Robert Browning?"
"How much does the CEO of Nationwide make","What is the annual salary (compensation, remuneration) of the Chief Executive Officer (CEO) of Nationwide Insurance Company?"
"what is sap wikipedia","What is SAP (System Applications and Products) software according to Wikipedia?"
"is pmi deductible","Is Private Mortgage Insurance (PMI) tax deductible (claimable, allowable)?"
"meaning of the rime of the ancient mariner poem analysis","What is the interpretation (significance, meaning) of ""The Rime of the Ancient Mariner"" poem: a literary analysis (critique, explanation)?"
"What are some ways a husband can support his wife during the postpartum period?","How can a husband provide emotional support (care, comfort) and assistance to his wife during the postnatal (postpartum, post-birth) period?"
"what is a mung bean","What is a mung bean (Vigna radiata, green gram), and what are its uses (applications, benefits) in cooking (cuisine, recipes) and nutrition (diet, health)?"
"who is the ceo of lord and taylor","Who is the current chief executive officer (CEO, president) of Lord & Taylor department store?"
"embryo refers to the stage of development between weeks","What is the definition of embryo, specifically referring to the stage of development between which weeks (stages, phases) of fetal growth (gestation, pregnancy)?"
"What are some benefits of green sustainable homes?","What are the advantages (benefits, perks) of eco-friendly (green, environmentally friendly) and sustainable (responsible, energy-efficient) homes (houses, dwellings)?"
"what was the congressional reconstruction act?","What was the Congressional Reconstruction Act (Legislative Reform Act) of 1867 (Post-Civil War Era)?"
"who sang for the rest of my life","Who performed (sang, vocalized) the song ""For the Rest of My Life""?"
"what is apollo the god of in roman mythology","What is Apollo, the god of in Roman mythology, responsible for (associated with, deity of)?"
"adenovirus incubation period","What is the incubation period ( latency period, contagious period) of adenovirus (adenoviral infection, AdV infection)?"
"cost of a cardiac stress test","What is the price (expense, cost) of a cardiac stress test (heart stress test, exercise stress test)?"
"what is the meaning of kushal in hindi","What is the definition (meaning, significance) of ""Kushal"" in Hindi (Indian language)?"
"what is the ending to a mountain between us","What is the climax (conclusion, finale) of the novel ""A Mountain Between Us""?"
"What is the purpose of the NexusFont application?","What is the function (purpose, role) of the NexusFont software (application, program)?"
"what does groupthink mean","What is the definition (meaning, explanation) of groupthink (conformity, mob mentality)?"
"who set up the first formal psychology lab in leipzig germany","Who established (founded, set up) the first formal psychology laboratory (research facility, institute) in Leipzig, Germany?"
"who were the twins on little house on the prairie","Who were the twin siblings (brothers, sisters) on the TV show ""Little House on the Prairie""?"
"how much does cvs pay to buyout independent","How much does CVS offer (pay, compensate) to buy out (acquire, purchase) independent pharmacies (drugstores, apothecaries)?"
"where do apes live","Where do apes (primates, gorillas, chimpanzees) inhabit or reside (live, dwell)?"
"how long will it take to get a degree online for business management","What is the average duration (length, timeframe) to earn an online degree in business management (administration, commerce)?"
"What are some key features of Rekordbox DJ Cracked?","What are the essential characteristics (attributes, functionalities) of Rekordbox DJ software (application, program) in its cracked (pirated, hacked) version?"
"who does the voice of optimus prime in transformers age of extinction","Who provides the voice (narration, vocal performance) of Optimus Prime in the movie Transformers: Age of Extinction?"
"What is the significance of the two ""Xs"" painted on the street in Dealey Plaza?","What is the importance (significance, meaning) of the two ""Xs"" marked (painted, drawn) on the road (street, highway) in Dealey Plaza?"
"who starred in once upon a texas train","Who starred in the 1988 Western film ""Once Upon a Texas Train"" (movie, motion picture)?"
"What are the features and benefits of the K40 CB Antenna?","What are the characteristics (attributes, specs) and advantages (benefits, perks) of the K40 CB Radio Antenna?"
"how did thomas fire get it's name","What is the origin (source, etymology) of the name of the Thomas Fire?"
"who wrote the song all about that bass","Who is the author (writer, composer) of the song ""All About That Bass""?"
"what is the current season of queen of the south","What is the latest (current, present) season of the TV series ""Queen of the South""?"
"what is the purpose of the uvula","What is the function (role, purpose) of the uvula (uvular, palatine appendage) in the human body (anatomy)?"
"What is the main criticism of David Sanger's New York Times article regarding Iran's nuclear program?","What are the primary objections (criticisms, complaints) to David Sanger's New York Times article concerning Iran's nuclear (atomic, atomic energy) program?"
"who sang anything you can do i can do better","Who performed (sang, recorded) the song ""Anything You Can Do I Can Do Better""?"
"where does a baker's cyst come from","What are the causes (origins, sources) of a baker's cyst (popliteal cyst, fluid-filled swelling)?"
"What is the proposed Academic Progress Rate that NCAA schools must reach to participate in the postseason?","What is the minimum Academic Progress Rate (APR, eligibility threshold) that NCAA schools must achieve to be eligible for postseason competition (tournaments, championships)?"
"what is a uterine embolization","What is uterine artery embolization (UAE), a minimally invasive procedure for treating uterine fibroids (leiomyomas, myomas)?"
"how soon should a rehearsal be reserved","When should a rehearsal space (venue, facility) be booked (reserved, scheduled)?"
"which term describes a soil formed by weathering of the underlying bedrock","What term describes a soil formed by weathering (erosion, degradation) of the underlying bedrock, specifically referring to residual (in situ, autochthonous) soil?"
"what determines your volume of blood","What factors (elements, components) determine your blood volume (circulatory capacity, blood quantity)?"
"who is playing with dead and company right now","Who is currently touring (performing, playing live) with Dead & Company (Grateful Dead offshoot, band) at this time (present, now)?"
"where do we get the staten island ferry","Where can I find (locate, access) the Staten Island Ferry schedule (timetable, route) and departure (boarding) points?"
"how long is a cambodian tourist visa good for","What is the duration (length, validity) of a Cambodian tourist visa (travel permit, entry authorization)?"
"what is the earliest sign of increased intracranial pressure","What are the earliest indicators (signs, symptoms) of elevated intracranial pressure (ICP, cranial pressure)?"
"what passes through the intertubercular groove of the humerus","What structures (tendons, nerves, vessels) pass through the intertubercular groove of the humerus bone?"
"can I use a character's name another book has","Can I reuse a character's name (protagonist, persona) from another author's book (novel, publication) in my own writing (story, manuscript)?"
"What are the benefits of using the online scoreboard for flight schedules at Brest Airport?","What are the advantages (benefits, perks) of using the digital (online) flight schedule board (departure board, timetable display) at Brest Airport?"
"What is the treadlife warranty of the Audi/A8 QuattroBase tire?","What is the tread life warranty of the Audi A8 Quattro's base tire model (mileage guarantee, tire durability promise)?"
"Who adopted the rescue cat Lou and for what purpose?","Who adopted the rescue cat Lou and for what reason (motivation, intention)?"
"a battle fought between amalgamated association of iron and steel union workers and guards","What was the outcome of the labor dispute (strike, conflict) between the Amalgamated Association of Iron and Steel Workers union and the company's security guards (security personnel, watchmen)?"
"who's number one on fbi most wanted","Who is currently ranked as the number one fugitive (most wanted, top suspect) on the FBI's Most Wanted list?"
"where did the la lakers name come from","What is the origin (source, history) of the Los Angeles Lakers' name (moniker, title)?"
"what is currently happening in the rio grande rift zone","What is currently occurring in the Rio Grande Rift Valley (region, area, zone)?"
"where was the first series of unforgotten filmed","Where was the first season of Unforgotten (TV series, show) filmed (shot, recorded, produced)?"
"which microbe causes flu","What microorganism (bacterium, virus) causes influenza (flu, seasonal flu)?"
"where do the testes develop in the embryo","Where do the testes (gonads, reproductive organs) develop in the embryonic (fetal, prenatal) stage?"
"What was the solution to the problem with the keylistener not working?","What was the fix (resolution, answer) to the issue (problem, trouble) with the KeyListener (event handler, listener) not functioning (working, responding)?"
"what is thematic technique","What is a thematic technique (literary device, narrative strategy) in literature (fiction, storytelling)?"
"how old do you have to be to get married in california","What is the minimum age (legal age, age requirement) to get married (enter into matrimony, tie the knot) in California (CA, Californian state)?"
"what major piece of legislation did eisenhower pass","What significant legislation (laws, acts, bills) did President Eisenhower enact (pass, sign) during his presidency?"
"what is plasmodium falciparum","What is Plasmodium falciparum, a species of (malaria, parasitic) protozoa?"
"where did the original texas chainsaw massacre happen","Where did the original Texas Chain Saw Massacre film take place (occur, happen) in reality?"
"cost of MRI for dog","What is the expense (cost, price) of an MRI (Magnetic Resonance Imaging) scan for a canine (dog, pet)?"
"what is the summary of the lion king","What is a brief summary (synopsis, outline) of Disney's The Lion King (movie, film, animation)?"
"whats the difference between dot 3 and dot 5 brake fluid","What is the distinction (difference, contrast) between DOT 3 and DOT 5 brake fluid (hydraulic fluid, brake oil)?"
"what is the filling in a bear claw","What is the typical filling (contents, ingredients) in a bear claw pastry (danish, sweet bread)?"
"what does plc mean","What does PLC (Programmable Logic Controller) stand for?"
"what is the name of miss south africa 2017","What is the identity (name) of Miss South Africa 2017 (winner, titleholder)?"
"asia where is it located","What is the geographical location (position, site) of Asia?"
"in what food is testofen found?","In what foods (edibles, nutrients) is Testofen (Fenugreek extract, herbal supplement) naturally found?"
"other sources of protein apart from meat","What are alternative sources of protein (amino acids, nutrients) besides meat (animal products, flesh)?"
"what type of cheese is used in poblanos chiles","What type of cheese is typically used in stuffed poblanos (roasted peppers, chile peppers)?"
"What are the general opening times for the Affordable Art Fair in Battersea, London during Autumn 2021?","What are the standard operating hours (opening times, business hours) for the Affordable Art Fair in Battersea, London during Fall (Autumn) 2021?"
"How did the second great awakening influence the reform movements of the period","How did the Second Great Awakening impact (influence, shape) the social reform movements of the 18th and 19th centuries (era, period)?"
"when was fosters home for imaginary friends made","When was Foster's Home for Imaginary Friends (animated TV series) created (produced, developed)?"
"where was the jungle book (1994) filmed","Where was the filming location (set, site) of the 1994 movie adaptation of The Jungle Book?"
"What are some of the key features of the Cat B15 smartphone?","What are the main specifications (characteristics, attributes) of the Cat B15 mobile phone (cell phone, handset)?"
"when does elle get shot in criminal minds","In what episode (season, installment) of Criminal Minds does Elle Greenaway get shot (injured, wounded)?"
"when did the song bennie and the jets come out","What is the release date of the song ""Bennie and the Jets"" by Elton John?"
"how long does it take a hamstring to heal","What is the typical recovery time (healing period, rehabilitation duration) for a hamstring injury (strain, pull)?"
"who holds the record for most digits of pi memorized","Who holds the Guinness World Record for memorizing the most digits of pi (mathematical constant, irrational number)?"
"who is the new singer of asking alexandria","Who is the current lead vocalist (singer, frontman) of the band Asking Alexandria?"
"what kind of soil does milkweed like","What type of soil (ground, earth) does milkweed prefer (like, thrive in)?"
"What are the three makeup combinations the author frequently uses from the Urban Decay NAKED Palette?","What are the three common eyeshadow (color, shade) combinations the author often uses from the Urban Decay NAKED Palette?"
"do i get temporary teeth if all my own removed at hospital","Do I receive provisional (temporary, interim) dentures if all my natural teeth are extracted (removed) at the hospital?"
"Why are sea otters considered a measurement of the environment's overall health at the Kenai Fjords National Park?","What makes sea otters an indicator (gauge, benchmark) of environmental well-being (health, ecosystem balance) in Kenai Fjords National Park?"
"what do the colors of madagascar's flag represent","What do the colors (hues, shades) of Madagascar's national flag symbolize (represent, signify)?"
"how many planet are in our solar system","What is the total number of planets (celestial bodies, worlds) in our solar system (cosmic neighborhood, planetary system)?"
"Where was the nest of the Purple Martin discovered?","Where was the breeding site (nest, habitat) of the Purple Martin bird species first discovered?"
"meaning of name naina","What is the significance (meaning, origin) of the name Naina (Nayna, Naini)?"
"what is a surety bond for bail","What is a surety bond (guarantee, security) for bail (release, freedom)?"
"what causes meniere's disease","What are the causes (origins, triggers) of Meniere's disease (endolymphatic hydrops)?"
"how many pages does the book life of pi have","What is the page count of ""Life of Pi"" by Yann Martel (author, novelist)?"
"who played atticus finch in to kill a mockingbird","Who portrayed (played, acted, starred as) Atticus Finch in the film (movie) adaptation of ""To Kill a Mockingbird""?"
"where did the last name myers come from","What is the origin (source, roots) of the surname Myers (Myers, Miers, Myres)?"
"what is vitreous humor","What is the vitreous humour (fluid, gel) in the eye?"
"Why did Lucy Lawless call her former co-star Kevin Sorbo ""Chicken""?","What was the reason behind Lucy Lawless labeling her ex-co-star Kevin Sorbo as ""chicken"" (coward, yellow)?"
"what happens when you heat up water","What occurs when you boil (heat, warm) water?"
"how old do i have to be to be a bartender in texas","What is the minimum age requirement (legal age, minimum age limit) to become a bartender (mixologist, barkeeper) in Texas?"
"What is the fuel efficiency of the pre-owned 2017 Mercedes-Benz S-Class S 550?","What is the gas mileage (fuel economy) of a used (pre-owned, second-hand) 2017 Mercedes-Benz S-Class S 550?"
"who is considered as father of epidemiology","Who is regarded as the founder (originator, pioneer) of epidemiology (disease prevention, public health)?"
"the supportive cells of the nervous system are called","What are the supportive cells (glial cells, sustentacular cells) of the nervous system called (named, referred to as)?"
"What are the amenities and features of the rental studio on Ashford Avenue in San Juan, Puerto Rico?","What are the amenities (facilities, services) and features of the rental studio apartment on Ashford Avenue in San Juan, Puerto Rico (PR)?"
"is lansing michigan safe","Is Lansing, Michigan a safe (secure, protected) city to live in or visit?"
"What is the second volume in Jeff VanderMeer's Southern Reach Trilogy?","What is the title of the second book (novel) in Jeff VanderMeer's Southern Reach Trilogy (series)?"
"benefits of saffron tea?","What are the advantages (benefits, perks) of drinking saffron (crocus, za'faran) tea?"
"who is captain marvel and what are his powers","Who is Captain Marvel (Carol Danvers) and what are her powers (abilities, superpowers)?"
"the primary gland of the lymph system is the","What is the main (primary, central) gland of the lymphatic system, which is the?"
"who played jason dilaurentis in pretty little liars","Who portrayed (played, acted) the character Jason DiLaurentis in the TV show Pretty Little Liars?"
"skin conditions caused by fungus","What are the skin disorders (conditions, diseases) caused by fungal (yeast, mold) infections?"
"What is the duration of the video featuring a dark haired BBW with massive jugs?","What is the length (duration, runtime) of the video featuring a dark-haired BBW (plus-sized woman, curvy female) with large breasts (bust, cleavage)?"
"What are the differences between Antivirus (AV), Next-Generation Antivirus (NGAV), Endpoint Detection and Response (EDR), and Managed Endpoint Detection and Response (MDR)?","What are the distinctions (differences, variations) between Antivirus (AV, anti-malware), Next-Generation Antivirus (NGAV, advanced threat protection), Endpoint Detection and Response (EDR, threat hunting), and Managed Endpoint Detection and Response (MDR, managed threat response)?"
"What are some tips for becoming a successful voiceover artist?","What are some strategies (tips, advice) for achieving success (prosperity, accomplishment) as a professional voice-over (voice actor, narrator) artist?"
"governance business definition","What is the definition of corporate (business, organizational) governance?"
"what was the name of the boat in the movie titanic","What was the title (name) of the ship (vessel, boat) in the film (movie) Titanic?"
"by what scientific name are swollen lymph glands known","What is the medical term (nomenclature) for enlarged (swollen, inflamed) lymph nodes (glands)?"
"is there a planet called eris","Is there a planet named Eris (dwarf planet, celestial body)?"
"what christians believe about dinosaurs","What do Christians believe about dinosaurs (prehistoric creatures, ancient animals)?"
"why are archaebacteria important","What is the significance (importance, relevance) of Archaea (archaebacteria, ancient bacteria) in various ecosystems?"
"when did the first mcdonald's open in america","When did the first McDonald's restaurant open in the United States (America, USA)?"
"best light to growing starting seeds","What is the optimal lighting (illumination) for starting to grow seeds (planting, germination) successfully?"
"when does bloom by troye sivan come out","When is the release date of ""Bloom"" album by Troye Sivan?"
"What was the main message comedian Walter Kamau Bell wanted to convey during his talk at Claremont McKenna College?","What was the central theme (main idea, key point) comedian W. Kamau Bell intended to convey (express, communicate) during his speech (talk, lecture) at Claremont McKenna College?"
"who plays the little girl in uncle buck","Who plays the role of the young girl (child, kid) in the movie Uncle Buck?"
"What are some of the causes of depression while writing a memoir?","What are some of the underlying factors (causes, triggers) of depression that may arise while writing a memoir (autobiography, life story, personal narrative)?"
"What is the author's perspective on religious diversity and tolerance in the Monadnock Region?","What is the writer's viewpoint (opinion, stance) on religious pluralism (diversity, multiculturalism) and acceptance (tolerance, openness) in the Monadnock Region?"
